Name                        , Category, Count
high-fat                    , food    ,    50
mind surge                  , food    ,    50
nutri-core                  , food    ,    50
physique fuel               , food    ,    50
bone-fortify                , food    ,    50
endura-growth               , food    ,    50
immune boost                , food    ,    50
muscle fortification        , food    ,    50
neuro-boost                 , food    ,    50
hyper-evolution             , food    ,    50
mitochondrial surge         , food    ,    50
nanite infusion             , food    ,    50
ultimate genesis            , food    ,    50
child of the orchard        , food    ,    50
ash book                    , memory  ,    10
assembly instructions       , memory  ,    10
basketball                  , memory  ,    10
biology notes               , memory  ,    10
blueprints                  , memory  ,    10
bowling ball                , memory  ,    10
bowling pin                 , memory  ,    10
camera                      , memory  ,    10
cards                       , memory  ,    10
cognitive cards             , memory  ,    10
commander's log             , memory  ,    10
compass                     , memory  ,    10
crayon                      , memory  ,    10
encyclopedia                , memory  ,    10
first aid                   , memory  ,    10
guitar                      , memory  ,    10
keys to imagination         , memory  ,    10
love letters                , memory  ,    10
maps                        , memory  ,    10
meditation                  , memory  ,    10
mirror                      , memory  ,    10
music notes                 , memory  ,    10
mystery box                 , memory  ,    10
peco athletics - 100m dash  , memory  ,    10
peco athletics - javelin    , memory  ,    10
peco athletics - triple jump, memory  ,    10
plans                       , memory  ,    10
porcine vocal interface     , memory  ,    10
programming manual          , memory  ,    10
small human art             , memory  ,    10
small tree                  , memory  ,    10
star child                  , memory  ,    10
stopwatch                   , memory  ,    10
sudoku book                 , memory  ,    10
survival diagrams           , memory  ,    10
teddy bear                  , memory  ,    10
the art of war              , memory  ,    10
tommy                       , memory  ,    10
travel journal              , memory  ,    10
where's tommy               , memory  ,    10
